id,fullName
1,Antonio Cañero
2,Musidora
3,Meg Ryan
4,Hugh Jackman
5,Liev Schreiber
6,Breckin Meyer
7,Kôji Tsuruta
8,Tomisaburô Wakayama
9,Bunta Sugawara
10,Noboru Andô
11,Patricia Acevedo
12,Yamil Atala
13,Eduardo Borja
14,Narciso Busquets
15,Crispin Glover
16,Vanessa Redgrave
17,John Hurt
18,Margot Kidder
19,Mikhail Efremov
20,Rim Ayupov
21,Romualdas Ramanauskas
22,Irina Kulevskaya
23,Tushka Bergen
24,Ewen Bremner
25,Anthony Calf
26,Ben Chaplin
27,Richard Tyson
28,Rodney A. Grant
29,Barbara Carrera
30,Zahn McClarnon
31,Preity Zinta
32,Akshay Kumar
33,Ashutosh Rana
34,Vishwajeet Pradhan
35,Raikhan Aitkhozhanova
36,Bakhitzhan Alpeisov
37,Sovetbek Dzhumadylov
38,Petya Khaitovich
39,Jason London
40,Alexondra Lee
41,Zak Orth
42,Leslie Lyles
43,Andrea Jungert
44,Walter Lott
45,David G. Muller
46,Ray Novak
47,Joel Grey
48,Barnard Hughes
49,Jean Louisa Kelly
50,Joey McIntyre
51,José Torres
52,Dean Cain
53,Thomas Ian Griffith
54,Justin Whalin
55,Jodi Bianca Wise
56,Rudy Giuliani
57,Joe Cortese
58,Michael McGrady
59,Mike Stone
60,Tom Bower
61,Julia Bremermann
62,Pia Ernst
63,Roja Ernst
64,Peter Hladik
65,Loren Avedon
66,Brian Tochi
67,Karen Kim
68,George Cheung
69,Víctor Mayo
70,Juan Carlos Vellido
71,Jenny Noguera
72,Frank Spano
73,Lisa Akey
74,René Ashton
75,Phillip Brock
76,Dean Cameron
77,Corinna Harfouch
78,William Hurt
79,Nigel Hawthorne
80,Miranda Richardson
81,Irène Jacob
82,Luz Croxatto
83,Valeriy Nikolaev
84,Karin Wilkomirsky
85,Sergey Veksler
86,Marc Casabani
87,Daston Kalili
88,Jocelyne Lopez
89,Richard Ortiz
90,Candance Gosch
91,Justice Daniels
92,Michael Davis
93,Jackie Shroff
94,Nana Patekar
95,Kumar Gaurav
96,Javed Jaffrey
97,Scott Shaw
98,Joe Haggerty
99,Fred Olen Ray
100,Eric Brummer
101,John Reneaud
102,Ed Oldani
103,Jeff Boerger
104,Paige Stapleton
105,Brendan Fletcher
106,Ike Gingrich
107,Rosemary Welden
108,Honey Lauren
109,Juhi Chawla
110,Anil Kapoor
111,Rishi Kapoor
112,Tinnu Anand
113,Don Wallace
114,Carl Achleitner
115,Marco Bretscher-Coschignano
116,Christina Rainer
117,Annett Renneberg
118,Hannele Lauri
119,Spede Pasanen
120,Simo Salminen
121,Riitta Väisänen
122,Costas Mandylor
123,Heidi Schanz
124,Valerie Perrine
125,Olivia Hussey
126,Govinda
127,Aishwarya Rai Bachchan
128,Namrata Shirodkar
129,Mariah Carey
130,Max Beesley
131,Da Brat
132,Tia Texada
133,Andras Jones
134,Seth Green
135,Jeffrey Combs
136,Wendy Robie
137,Mitchell David Rothpan
