id,fullName
1,Musidora
2,James Mangold
3,Kinji Fukasaku
4,Fernando Ruiz
5,Menahem Golan
6,Andrzej Czarnecki
7,Edward Bennett
8,Christopher Cain
9,Pieter Moleveld
10,Johannes Holzhausen
11,Tanuja Chandra
12,Jan Lindkvist
13,Satybaldy Narymbetov
14,Bruce Leddy
15,Feri Hefti
16,Michael Ritchie
17,Michael New
18,David Douglas
19,Tim Douglas
20,Jon Osman
21,Belle Avery
22,Sigi Rothemund
23,David H. May
24,Fernando Venturini
25,James Allen Bradley
26,Klaus Maria Brandauer
27,George Hickenlooper
28,Sebastián Alarcón
29,Samer Al-Asadi
30,Christopher Gosch
31,Mazhar Khan
32,Donald G. Jackson
33,Kenneth Guertin
34,Robert McGinley
35,Rakesh Roshan
36,Volker Maria Arend
37,Spede Pasanen
38,Zalman King
39,Dianne Griffin
40,Tobi Solvang
41,Deepak Sareen
42,Vondie Curtis-Hall
43,Jeremy Kasten
44,Gérard Pullicino
45,Bob Clark
46,Kar-Wai Wong
47,George Bazala
48,Manuela Viegas
49,Al Pacino
50,Matthias Glasner
51,John Malkovich
52,Michael A. Nickles
53,R.D. Robb
54,Danny Aiello III
55,Martha Fiennes
56,Eric Mintz
57,Darren Doane
58,Michael Coldewey
59,Michel Lemire
60,Paul Talbot
61,João César Monteiro
62,Adrian Fulle
63,Jeff Santo
64,Alberto Seixas Santos
65,Richard Brunton
66,James Glenn Dudelson
67,Kenneth Schapiro
68,Herman van Veen
69,Ivan Entel
70,David Elliot
71,Mark Huppin
72,Jan Peter
73,Bruno Nuytten
74,Peter Kosminsky
75,Scott Mabbutt
76,Dorian Ramírez
77,Jeffrey Delman
78,Robert Allan Ackerman
79,N. Chandra
80,Kirsi Nevanti
81,David Lister
82,David O. Russell
83,David Mamet
84,Brad Kane
85,Roy Andersson
86,Wayne Alan Harold
87,John Lasseter
88,Ash Branno
89,Lee Unkric
90,Woody Keith
91,Phillip J. Roth
92,Alan Zweig
93,John Bruno
94,Bryan Johnson
95,Adam Davidson
96,Martin Guigui
97,Allan A. Goldstein
98,Steven Maler
99,Gary Sinyor
100,Spike Jonze
101,Graham Baker
102,Billy Kent
103,Brian Lynch
104,Tony Goldwyn
105,Stephen Sommers
106,Tom Clegg
107,Alan Rudolph
108,Jonathan Kaplan
109,Luís Filipe Rocha
110,Maria de Medeiros
111,Christopher Kublan
112,Peter Lord
113,Nick Park
114,Ulu Grosbard
115,Kevin Smith
116,John McTiernan
117,Michael Crichton
118,Bruno de Almeida
119,Stephan Elliott
120,Stanley Kubrick
121,John Pasquin
122,Bryan Spicer
123,Henry Burrows
124,Julie Taymor
125,Albert Hughes
126,Allen Hughes
127,Sidney Lumet
128,Frank Darabont
129,Keoni Waxman
130,Neil Jordan
131,Peter Kassovitz
132,Tim Deacon
133,Peter Jackson
134,Brian Altman
135,Wim Wenders
136,John Woo
137,Scott Silver
138,Donald Petrie
139,Lance Hool
140,Brian Helgeland
141,António-Pedro Vasconcelos
142,Mike Newell
143,Manuel Mozos
144,Benjamin Ross
145,Paul W.S. Anderson
146,Deborah Del Prete
147,Gita Mallik
148,David Flamhol
149,Lasse Hallström
150,Florrie Laurence
151,Scott Hicks
152,Jeff Pollack
153,Chris Buck
154,Kevin Lima
155,Franco Zeffirelli
156,Gary Dean Orona
157,Willi Patterson
158,Barry Sonnenfeld
159,Hugh Hudson
160,Bryan Singer
161,David Cronenberg
162,James Algar
163,Gaëtan Brizzi
164,Paul Brizzi
165,Hendel Butoy
166,Francis Glebas
