id,Title,Year,Runtime,Rating,Language,Country
1,La tierra de los toros,1924,,6.6,,"Spain, France"
2,Kate & Leopold,2001,118 min,6.4,"English, French",USA
3,Japan Organized Crime Boss,1969,97 min,7.0,Japanese,Japan
4,The New Adventures of Oliver,1987,91 min,5.6,Spanish,Mexico
5,Crime and Punishment,2002,126 min,6.3,"English, Polish","Poland, Russia, USA"
6,Istota,2000,80 min,,Russian,"Russia, Poland"
7,Bye Bye Baby,2001,,8.4,English,UK
8,Lakota Moon,1999,85 min,7.5,English,USA
9,Nothing,1993,,,English,Netherlands
10,Auf allen Meeren,2002,1 h 35 min,6.0,,
11,Sangharsh,1999,127 min,6.8,Hindi,India
12,Tiden är en dröm,1994,125 min,,Swedish,Sweden
13,Közimning qarasy,1999,87 min,5.6,"Russian, Kazakh",Kazakhstan
14,My Teacher's Wife,1999,89 min,5.5,English,USA
15,Dune 7,2002,97 min,5.1,English,Switzerland
16,The Fantasticks,2000,86 min,5.6,English,USA
17,Florentino y el diablo,2000,,6.9,,Venezuela
18,For the Cause,2000,100 min,3.4,English,USA
19,Justifiable Homicide,2002,,2.8,English,USA
20,Malevolence,1999,96 min,5.6,English,USA
21,"Mami, ich will bei dir bleiben",1999,,,German,Germany
22,The Silent Force,2001,90 min,4.4,English,USA
23,3 noches,2001,105 min,6.8,Spanish,Venezuela
24,Two-Eleven,1999,,6.0,English,USA
25,Die Wand,1999,90 min,6.5,"German, French","Austria, Canada"
26,The Big Brass Ring,1999,104 min,5.3,"English, French, Latin",USA
27,Tsikatriz,1999,87 min,4.6,Russian,"Russia, Chile"
28,Consequence,2000,91 min,8.0,English,USA
29,Custody,1999,,,English,USA
30,Gang,2000,152 min,6.4,Hindi,India
31,Ghost Taxi,1999,49 min,4.2,English,"USA, Canada"
32,The Incorporated,2000,86 min,6.9,English,USA
33,Jimmy Zip,1999,112 min,5.3,English,USA
34,Karobaar: The Business of Love,2000,180 min,4.5,Hindi,India
35,Leftovers,2000,,,English,Australia
36,Maja,1996,105 min,8.6,German,Germany
37,Naisen logiikka,1999,70 min,5.3,Finnish,Finland
38,"Shame, Shame, Shame",1999,87 min,3.6,English,USA
39,White Hotel,2001,90 min,7.6,English,USA
40,Albela,2001,145 min,3.7,Hindi,India
41,Glitter,2001,104 min,2.3,English,USA
42,The Attic Expeditions,2001,100 min,5.0,English,USA
43,Babel,1999,95 min,3.7,French,"France, Canada"
44,Baby Geniuses,1999,97 min,2.6,English,USA
45,In the Mood for Love,2000,98 min,8.1,"Cantonese, Shanghainese, French, Spanish","Hong Kong, China"
46,Beyond the Pale,2000,96 min,6.8,English,USA
47,Glória,1999,100 min,6.1,Portuguese,"Portugal, France, Spain"
48,Chinese Coffee,2000,99 min,7.1,English,USA
49,Armageddon Boulevard,1999,90 min,5.9,English,USA
50,Fandango,2000,94 min,5.6,German,Germany
51,The Dancer Upstairs,2002,132 min,6.9,"English, Quechua, Spanish","Spain, USA"
52,Do You Wanna Dance?,1999,104 min,6.2,English,USA
53,Don's Plum,2001,89 min,5.8,English,"USA, Denmark, Sweden"
54,18 Shades of Dust,2001,95 min,4.8,English,USA
55,Onegin,1999,106 min,6.9,"English, French","UK, USA"
56,Full Blast,2000,91 min,6.0,English,USA
57,Godmoney,1999,99 min,4.3,English,USA
58,Heavy Metal 2000,2000,88 min,5.5,English,"Canada, Germany"
59,Hellblock 13,1999,90 min,4.0,English,USA
60,As Bodas de Deus,1999,150 min,7.2,"French, Portuguese","France, Portugal"
61,Love 101,2000,86 min,5.0,English,USA
62,Liar's Poker,1999,93 min,3.9,English,USA
63,Mal,1999,85 min,6.1,"Portuguese, English","Portugal, Ireland, Spain, Brazil"
64,Meet the Mosaics,1999,,4.1,English,USA
65,Morella,1999,88 min,3.4,English,USA
66,My Girlfriend's Boyfriend,1999,81 min,5.0,English,USA
67,Nachtvlinder,1999,92 min,4.9,Dutch,Netherlands
68,Night of the Coyote,1999,93 min,7.8,English,"Argentina, USA"
69,Nothing Sacred,2000,98 min,6.0,English,USA
70,Hinter dem Regenbogen,1999,90 min,5.0,German,Germany
71,Passionnément,2000,104 min,5.7,French,France
72,Warriors,1999,175 min,8.2,English,UK
73,Predators from Beyond Neptune,1999,80 min,4.9,English,USA
74,Pushing the Envelope,2001,75 min,6.0,English,USA
75,Random Shooting in L.A.,2002,91 min,6.3,English,USA
76,Passion's Way,1999,88 min,5.9,English,"USA, Germany"
77,Shikari,2000,160 min,4.6,Hindi,India
78,Among the Elves,1999,93 min,6.2,Swedish,Sweden
79,The Sorcerer's Apprentice,2001,86 min,4.4,"English, French",UK
80,Three Kings,1999,114 min,7.1,"English, Arabic",USA
81,State and Main,2000,105 min,6.7,"English, Italian","France, USA"
82,Say You'll Be Mine,1999,96 min,6.5,English,USA
83,Songs from the Second Floor,2000,98 min,7.6,"Swedish, Russian","Sweden, Norway, Denmark"
84,Townies,1999,69 min,4.2,English,USA
85,Toy Story 2,1999,92 min,7.9,"English, Arabic, Spanish",USA
86,Dementia,1999,,4.5,English,USA
87,Velocity Trap,1999,86 min,4.6,English,USA
88,Vinyl,2000,180 min,7.2,English,Canada
89,Virus,1999,99 min,5.0,"English, Russian","USA, UK, Germany, Japan, France"
90,Vulgar,2000,87 min,5.3,English,USA
91,Way Past Cool,2000,96 min,6.1,English,"USA, France"
92,My X-Girlfriend's Wedding Reception,1999,85 min,4.5,English,USA
93,When Justice Fails,1999,91 min,4.9,English,"Canada, USA"
94,The Autumn Heart,1999,110 min,6.5,English,USA
95,The Bachelor,1999,101 min,5.0,"English, Spanish",USA
96,Being John Malkovich,1999,113 min,7.7,English,USA
97,Beowulf,1999,95 min,4.1,English,"UK, USA, Romania"
98,"Berlin Diaries, 1940-45",2001,,,English,USA
99,The Best of Enemies,1999,,4.4,English,USA
100,Big Helium Dog,1999,89 min,5.3,English,USA
