Film_id,Actor_id
1,1
1,2
2,3
2,4
2,5
2,6
3,7
3,8
3,9
3,10
4,11
4,12
4,13
4,14
5,15
5,16
5,17
5,18
6,19
6,20
6,21
6,22
7,23
7,24
7,25
7,26
8,27
8,28
8,29
8,30
11,31
11,32
11,33
11,34
13,35
13,36
13,37
13,38
14,39
14,40
14,41
14,42
15,43
15,44
15,45
15,46
16,47
16,48
16,49
16,50
17,51
18,52
18,53
18,54
18,55
19,56
20,57
20,58
20,59
20,60
21,61
21,62
21,63
21,64
22,65
22,66
22,67
22,68
23,69
23,70
23,71
23,72
24,73
24,74
24,75
24,76
25,77
26,78
26,79
26,80
26,81
27,82
27,83
27,84
27,85
28,86
28,87
28,88
28,89
29,90
29,91
29,92
30,93
30,94
30,95
30,96
31,97
31,98
31,99
31,100
32,101
32,102
32,103
32,104
33,105
33,106
33,107
33,108
34,109
34,110
34,111
34,112
35,113
36,114
36,115
36,116
36,117
37,118
37,119
37,120
37,121
38,122
38,123
38,124
38,125
40,126
40,127
40,93
40,128
41,129
41,130
41,131
41,132
42,133
42,134
42,135
42,136
43,137
43,138
43,139
43,140
44,141
44,142
44,143
44,144
45,145
45,146
45,147
45,148
46,149
46,150
46,151
46,152
47,153
47,154
47,155
47,156
48,157
48,158
48,159
48,160
49,97
49,161
49,162
49,163
50,164
50,165
50,166
50,77
51,167
51,168
51,169
51,170
52,171
52,172
52,173
52,174
53,175
53,176
53,177
53,178
54,179
54,180
54,181
54,182
55,183
55,184
55,185
55,186
56,187
56,188
56,189
56,190
57,191
57,192
57,193
57,194
58,195
58,161
58,196
58,197
59,198
59,199
59,200
59,201
60,202
60,203
60,204
60,205
61,206
61,207
61,208
61,209
62,27
62,210
62,211
62,212
63,213
63,214
63,215
63,216
64,217
64,218
64,219
64,220
65,221
65,222
65,223
65,224
66,225
66,226
66,227
66,228
67,229
67,230
67,231
67,232
68,233
68,234
68,235
68,236
69,237
69,238
69,239
69,240
70,241
70,117
70,242
70,243
71,244
71,245
71,246
71,247
72,248
72,249
72,250
72,251
73,252
73,253
73,254
73,255
74,256
74,257
74,258
74,259
75,260
75,261
75,262
75,263
76,264
76,265
76,266
76,267
77,126
77,268
77,269
77,270
78,271
79,272
79,273
79,274
79,275
80,276
80,277
80,278
80,279
81,280
81,281
81,282
81,283
82,284
82,285
82,286
82,287
83,288
83,289
83,290
83,291
84,292
84,293
84,294
84,295
85,296
85,297
85,298
85,299
86,300
86,301
86,302
86,303
87,304
87,305
87,306
87,307
88,308
88,309
88,310
88,311
89,312
89,313
89,314
89,315
90,316
90,317
90,318
90,319
91,320
91,321
91,322
91,323
92,226
92,324
92,325
92,326
93,327
93,328
93,329
93,330
94,331
94,332
94,333
94,334
95,335
95,336
95,337
95,338
96,339
96,340
96,341
96,342
97,343
97,344
97,345
97,346
100,347
100,348
100,349
100,350
101,351
101,352
101,353
101,354
102,355
102,356
102,357
102,358
103,359
103,360
103,361
103,362
104,363
104,364
104,365
104,366
105,367
105,368
105,369
105,370
106,371
106,372
106,373
106,374
107,375
107,138
107,376
107,377
108,378
108,379
108,380
108,381
109,382
109,383
109,384
109,385
110,386
110,387
110,388
110,389
111,390
111,391
111,392
111,393
112,394
112,395
112,396
112,397
113,398
113,399
113,400
113,401
114,402
114,403
114,404
114,405
115,406
115,407
115,408
115,409
116,410
116,411
116,412
117,413
117,414
117,415
117,416
118,417
118,418
118,419
118,420
119,421
119,422
119,423
119,424
120,425
120,426
120,427
120,428
121,296
121,429
121,430
121,431
122,432
122,433
122,434
122,435
123,436
123,437
123,438
123,439
124,440
124,441
124,442
124,443
126,444
126,324
126,445
126,434
127,446
127,447
127,448
127,449
129,450
129,451
129,384
129,452
130,406
130,453
130,454
130,455
131,367
131,456
131,457
131,458
132,142
132,459
132,460
132,461
133,462
133,376
133,463
133,464
134,384
134,465
134,466
134,467
135,468
135,469
135,470
135,471
136,339
136,472
136,473
136,474
137,475
137,476
137,477
137,478
138,5
138,479
138,480
138,481
139,482
139,483
139,484
139,485
140,486
140,487
140,488
140,489
141,490
141,491
141,492
141,493
142,494
142,495
142,496
142,473
143,497
143,498
143,499
143,500
144,501
144,502
144,503
144,504
145,505
145,506
145,507
145,508
146,509
146,510
146,511
146,512
147,513
147,496
147,514
147,515
148,516
148,517
148,518
148,519
149,520
149,521
149,522
149,523
150,524
150,525
150,526
150,527
151,528
151,529
151,530
151,417
152,531
152,532
152,81
152,533
153,4
153,534
153,535
153,536
154,537
154,538
154,423
154,539
155,540
155,541
155,542
155,543
156,544
156,528
156,545
156,546
157,547
157,548
157,549
157,550
158,551
158,402
158,552
158,553
159,505
159,554
159,555
159,556
160,557
160,558
160,559
160,560
161,561
161,562
161,563
161,564
163,565
163,566
163,567
163,568
164,402
164,552
164,569
164,570
166,571
166,572
166,573
166,574
167,575
167,576
167,577
167,578
168,579
168,580
168,581
168,582
169,583
169,511
169,584
169,585
170,586
170,587
170,511
170,473
171,185
171,588
171,589
171,590
172,591
172,6
172,592
172,593
173,594
173,595
173,596
173,597
174,598
174,599
174,600
174,601
175,602
175,603
175,604
175,605
176,606
176,607
176,608
176,609
177,610
177,611
177,612
177,613
178,614
178,615
178,616
178,617
179,618
179,619
179,620
179,456
180,621
180,622
180,623
180,624
181,25
181,625
181,626
181,627
182,628
182,629
182,630
182,631
183,632
183,633
183,634
183,635
184,636
184,637
184,638
184,639
185,640
185,641
185,642
185,643
187,355
187,644
187,645
187,646
188,177
188,647
188,648
188,649
190,650
190,651
190,652
190,653
191,654
191,655
191,656
191,657
192,658
192,659
192,660
192,661
193,662
193,663
193,664
193,665
194,666
194,667
194,668
194,669
195,670
196,671
196,672
196,673
196,674
197,675
197,676
197,677
197,678
198,679
198,680
198,681
198,682
199,683
199,684
199,685
199,686
200,687
200,688
200,689
200,690
201,691
201,636
201,340
201,692
202,693
202,694
202,695
202,696
203,510
203,495
203,184
203,335
204,697
204,698
204,699
204,700
205,701
205,702
205,703
205,704
206,705
206,706
206,707
206,708
207,709
207,710
207,711
207,712
208,713
208,714
208,715
208,716
209,717
209,718
209,719
209,720
210,721
210,722
210,723
210,724
211,725
211,726
211,727
211,728
212,729
212,730
212,731
212,712
213,732
213,733
213,734
213,735
214,736
214,737
214,738
214,739
215,740
215,741
215,642
215,742
216,743
216,744
216,745
216,746
217,747
217,748
217,749
217,750
218,751
218,752
218,753
218,754
219,755
219,756
220,757
220,758
220,759
220,760
221,761
221,762
221,763
221,764
222,765
222,766
222,767
222,768
223,769
223,770
223,771
223,772
224,773
224,774
224,775
224,776
225,777
225,778
225,779
225,780
226,781
226,782
226,783
226,784
227,518
227,785
227,314
227,786
228,787
228,788
228,789
228,790
229,791
229,792
229,793
229,794
230,795
230,796
230,797
230,798
231,799
231,800
231,801
231,802
232,803
232,804
232,805
232,806
233,540
233,807
233,808
233,809
234,810
234,811
234,812
234,450
236,813
236,142
236,814
236,815
237,672
237,816
237,817
237,818
238,819
238,820
238,821
238,822
239,823
239,824
239,825
239,826
240,827
240,828
240,829
240,830
242,831
242,832
242,833
242,834
243,835
243,836
243,837
243,838
244,839
244,840
244,841
244,674
245,842
245,843
245,844
245,845
247,540
247,636
247,422
247,846
248,847
248,848
248,849
248,850
249,851
249,852
249,853
249,854
250,855
250,856
250,857
250,858
252,859
252,860
252,861
252,862
253,863
253,402
253,864
253,865
254,866
254,710
254,867
254,139
256,868
256,869
256,870
256,871
257,872
257,849
257,873
257,874
258,875
258,876
258,877
258,878
259,450
259,879
259,880
259,881
260,882
260,585
260,883
260,884
261,885
261,886
261,887
261,888
262,889
262,793
262,890
262,891
264,892
264,893
264,894
264,895
265,531
265,896
265,897
265,898
266,899
266,900
266,901
266,902
267,903
267,904
267,905
267,906
268,907
268,908
268,909
268,770
269,910
269,911
269,912
269,913
270,914
270,915
270,417
270,916
271,917
271,918
271,919
271,920
272,921
272,922
272,923
272,924
274,925
274,926
274,927
274,928
275,929
275,930
275,931
275,932
276,933
276,934
276,935
276,936
277,937
277,938
277,939
277,940
278,277
278,941
278,942
278,431
279,943
279,944
279,945
279,946
280,947
280,948
280,949
280,950
281,951
281,952
281,953
281,954
282,955
282,714
282,956
282,957
283,958
283,959
283,960
283,961
284,962
284,963
284,964
284,727
285,965
285,966
285,811
285,967
286,5
286,968
286,969
286,970
287,971
287,972
287,538
287,473
288,177
288,973
288,974
288,975
289,976
289,977
289,978
289,979
290,545
290,980
290,981
290,982
291,983
291,889
291,984
291,886
292,985
292,986
292,987
292,988
293,989
293,990
293,991
293,992
294,993
294,994
294,995
294,996
295,805
295,997
295,998
295,999
296,1000
296,1001
296,1002
296,1003
297,1004
297,1005
297,1006
297,1007
298,195
298,1008
298,1009
298,1010
299,1011
299,1012
299,1013
299,1014
300,1015
300,1016
300,1017
300,1018
301,1019
301,1020
301,1021
301,1022
302,1023
302,1024
302,1025
302,1026
303,1027
303,1028
303,1029
303,1030
304,1031
304,1032
304,1033
304,1034
305,1035
305,1036
305,1037
305,1038
306,1039
306,1040
306,1041
306,1042
307,1043
307,1044
307,1045
307,1046
308,1047
308,1048
308,1049
308,1050
309,1051
309,1052
309,1053
309,1054
310,1055
310,1056
310,1057
310,1058
311,1059
311,1060
311,1061
311,1062
312,1063
312,1064
312,1065
312,1066
313,1067
313,1068
313,1069
313,1070
314,1071
314,1072
314,1073
314,1074
315,1075
315,1076
315,1077
315,1078
316,1079
316,1080
316,298
316,1081
317,1082
317,1083
317,1084
317,1085
318,1086
318,1087
318,455
318,1088
319,1089
319,1090
319,1091
319,1092
320,1093
320,1094
320,1095
320,1096
321,1097
321,1098
321,1099
321,1100
322,1101
322,1102
322,1103
322,1104
323,1105
323,1106
323,1107
323,1108
324,1109
324,1110
324,1111
324,1112
325,1113
325,1114
325,1115
325,1116
326,421
326,647
326,1117
326,1118
327,1119
327,1120
327,1121
327,847
328,1122
328,1123
328,1124
328,1125
329,1126
329,1127
329,1128
329,1129
330,1130
330,1131
330,1132
330,1133
331,1134
331,1135
331,1136
331,1137
332,1138
332,1139
332,1140
332,1141
333,1142
333,1143
333,1144
333,1145
334,1146
334,134
334,1147
334,1148
335,1149
335,1150
335,17
335,1151
336,1152
336,1153
336,1154
336,1155
337,1156
337,1157
337,1158
337,997
338,1159
338,1160
338,1161
338,1162
339,1163
339,1164
339,1165
339,1166
340,1167
340,1168
340,1169
340,1170
341,1171
341,1172
341,1173
341,1174
342,1175
342,1176
342,1177
342,1178
343,645
343,1179
343,1180
343,1181
344,1182
345,1183
345,1184
345,1185
345,1186
346,1187
346,1188
346,1189
346,1190
347,1191
347,1192
347,1193
348,529
348,530
348,1105
348,1194
349,1195
349,1196
349,1197
349,1198
350,1199
350,1200
350,1201
350,1202
351,1203
351,1204
351,1205
351,1206
352,1207
352,1208
352,1209
352,1210
353,1211
353,1212
353,1213
353,1214
354,1215
354,1216
354,434
354,1217
355,1218
355,1219
355,1220
355,1221
356,1222
356,1223
356,1224
356,1225
357,1226
357,1227
357,1228
357,1229
358,1230
358,1231
358,1232
358,1233
359,1234
359,1235
359,886
359,1236
360,277
360,977
360,647
360,816
361,1237
361,1238
361,1239
361,1240
362,1241
362,1242
362,1243
362,1244
363,1245
363,1246
363,1247
363,1248
365,1249
365,1250
365,714
365,1251
366,1252
366,1253
366,1254
366,1255
367,1256
367,1257
367,1258
367,1259
369,1260
369,1261
369,1262
369,1263
370,1264
370,1265
370,1266
370,1267
371,926
371,1268
371,1269
371,1270
372,1271
372,1272
373,1273
373,1274
373,1275
373,1001
374,1276
374,1277
374,683
374,1278
376,1279
377,1280
377,1281
377,1282
377,1283
378,1284
378,501
378,1285
378,462
379,1286
379,1287
379,1288
379,1289
380,543
380,1290
380,1291
380,1292
381,1293
381,1294
381,619
381,807
382,1295
382,1296
382,1297
382,1298
383,1299
383,1300
383,1301
383,1302
384,1303
384,1304
384,1305
384,1306
385,1307
385,1308
385,1309
385,1310
386,1311
386,1312
386,1313
386,1314
387,1315
387,1316
387,1317
387,1198
389,422
389,1076
389,1318
389,1319
390,636
390,1320
390,1321
390,1322
391,1323
391,1324
391,1325
391,1326
392,1327
392,1328
392,355
392,1329
395,1330
395,343
395,1331
395,1332
397,1333
397,1334
398,177
398,539
398,921
398,1335
400,1336
400,1337
400,1338
400,1339
401,1340
401,1341
401,1342
401,1343
402,1344
402,721
402,1345
402,1346
403,474
403,1347
403,1348
403,1349
404,1350
404,1351
404,1352
404,1353
405,339
405,1354
405,1355
405,1356
406,528
406,971
406,647
406,1357
407,1358
407,1359
407,1360
407,1361
408,1362
408,1363
408,1364
408,1365
409,1366
409,1367
409,1368
409,1369
410,1370
410,1371
410,1372
410,1373
411,1374
411,1375
411,1376
411,1377
412,1194
412,395
412,1378
412,1379
413,1380
413,1381
413,1382
413,1383
414,1384
414,1385
414,1386
414,1387
415,971
415,1388
415,1389
415,1390
416,1391
416,985
416,1392
416,180
417,1393
417,127
417,1394
417,1395
418,1396
418,1397
418,1398
418,1399
419,1400
419,1401
419,1402
