Film_id,Actor_id
22379,2386
22379,47467
22379,47468
22379,47469
22380,334
22380,316
22380,47470
22380,3905
22381,616
22381,9871
22381,14038
22381,22772
22382,47471
22383,3688
22383,3654
22383,4273
22383,47472
22384,47473
22384,47474
22384,3054
22384,47475
22385,47476
22385,47477
22385,1577
22385,47478
22386,4877
22386,710
22386,42748
22386,47479
22387,16239
22387,47480
22387,47481
22387,47482
22388,4782
22388,8019
22388,10606
22388,7638
22389,569
22389,1148
22389,2462
22389,9009
22390,47483
22390,16335
22390,77
22390,47484
22391,15828
22391,10416
22391,253
22391,47485
22392,47486
22392,47487
22392,4368
22392,47488
22393,2063
22393,2778
22393,125
22393,4435
22394,47489
22394,47490
22394,47491
22394,47492
22395,47493
22395,47494
22395,47495
22395,47496
22396,5566
22396,47497
22397,47498
22397,47499
22397,8342
22397,3698
22398,47500
22398,47501
22398,10823
22398,47502
22399,47503
22399,47504
22399,47505
22399,47506
22400,47507
22400,47508
22400,33374
22400,40899
22401,47509
22401,1406
22402,10048
22402,501
22402,364
22402,3636
22403,12723
22403,2544
22403,2405
22403,6172
22404,47510
22404,47511
22404,47512
22404,47513
22405,1330
22405,4049
22405,863
22405,47514
22406,18275
22406,5705
22406,16768
22406,2944
22407,47515
22407,47516
22407,47517
22407,47518
22408,47519
22408,8871
22408,8553
22408,47520
22409,47521
22409,47522
22409,42396
22409,47523
22410,14162
22410,47524
22410,47525
22410,47526
22411,47527
22411,22512
22411,47528
22411,22676
22412,47529
22412,47530
22412,47531
22412,47532
22413,47533
22413,47534
22413,47535
22413,47536
22414,47537
22414,16125
22414,47538
22414,47539
22415,4590
22415,8342
22415,47540
22415,1331
22416,47541
22416,47542
22416,47543
22416,47544
22417,47545
22417,13137
22417,47546
22417,5882
22418,16123
22418,5663
22418,47547
22418,47548
22419,18604
22419,2481
22419,12410
22419,14938
22420,5592
22420,3060
22420,4492
22420,43024
22421,43685
22421,47549
22421,47550
22421,47551
22422,47552
22422,47553
22422,47554
22422,47555
22423,3527
22423,47556
22423,43443
22423,47557
22424,363
22424,5306
22424,11955
22424,19561
