Film_id,Director_id
22379,11802
22380,17775
22381,17776
22382,143
22383,15440
22384,10523
22385,17777
22386,417
22387,17778
22388,1723
22389,17779
22390,5304
22391,889
22392,17780
22393,17781
22394,17782
22395,17783
22396,17784
22397,17785
22398,17786
22399,211
22400,17787
22401,17788
22402,127
22403,1734
22404,17789
22405,17790
22406,17791
22407,17792
22408,17793
22409,17794
22410,4996
22411,17795
22412,17796
22412,17797
22413,5178
22414,17798
22415,17799
22416,17800
22417,17801
22418,5139
22419,17802
22420,17803
22421,658
22422,17804
22422,17805
22423,17806
22424,17807
22425,17808
22426,802
22427,640
22428,17809
22429,17810
22430,17811
22431,17812
22432,17813
22433,17814
22434,17815
22434,17816
22435,4990
22436,17817
22437,3102
22437,3103
22438,3274
22439,17818
22440,17819
22441,17820
22441,17821
22441,17822
22442,17823
22443,2021
22444,17824
22445,17825
22446,230
22447,17826
22449,17827
22450,17828
22450,17829
22451,756
22452,6288
22453,7238
22454,16447
22454,17830
22454,17831
22454,17832
22454,17833
22454,17834
22454,17835
22454,17836
22455,17837
22456,17838
22457,17839
22458,17840
22459,17841
22460,17842
22461,1955
22462,17843
22463,17844
22464,99
22465,17845
22466,17846
22467,17847
22468,17848
22469,11764
22470,894
22471,763
22472,17849
22473,6728
22474,17850
22475,17851
22475,17852
22476,4719
22477,17853
22478,2182
22479,17854
22480,9201
22481,2
22482,17855
22482,17856
22483,246
22483,17857
22484,17858
22485,17859
22486,8285
22487,17860
22488,17861
22489,17862
22490,3485
22491,1500
22492,17863
22493,8742
22494,2151
22495,8369
22496,840
22497,17864
22497,17865
22497,5121
22498,17866
22499,17867
22500,5093
22501,17868
22502,17869
22502,17870
22503,17871
22503,17872
22504,1681
22505,3337
22506,17873
22507,3466
22508,17874
22509,17875
22510,17876
22511,17877
22512,17878
22512,17879
22513,4705
22514,17880
22515,17876
22516,10651
22517,9633
22518,17881
22519,2255
22520,3063
22520,17882
22521,17883
22522,17884
22523,11734
22524,17885
22525,12638
22526,4156
22527,17886
22528,10299
22529,17887
22530,17888
22531,17889
22532,293
22533,17890
22534,17891
22535,757
22535,758
22536,17892
22536,17893
22537,3329
22538,17894
22539,17895
22539,17896
22539,17897
22540,4635
22541,17898
22542,17899
22543,839
22544,4817
22545,17900
22546,5451
22547,3860
22548,15994
22548,17901
22549,223
22550,17902
22551,2582
22552,17903
22553,3000
22554,3197
22554,3198
22555,17904
22556,17905
22557,17906
22558,17907
22559,17908
22560,3091
22561,17909
22562,1318
22563,1054
22564,915
22565,2747
22566,5451
22567,17910
22568,17911
22569,17912
22570,1727
22571,2045
22572,6403
22573,17913
22574,1487
22575,17914
22576,17915
22577,17916
22578,17917
22579,17918
22580,17919
22581,1991
22582,17920
22583,17921
22583,17922
22584,17923
22584,17924
22585,17925
22586,17926
22587,17927
22588,17928
22589,17929
22590,335
22591,17930
22592,986
22593,17931
22594,17932
22595,17933
22596,17934
22596,153
22597,17935
22598,17936
22599,11858
22599,17937
22600,17938
22600,17939
22601,17940
22602,407
22603,10049
22604,17941
22604,17942
22605,15985
22606,17943
22607,4130
22607,4131
22608,17944
22609,17945
22610,136
22611,17946
22612,17947
22613,17948
22614,762
22615,17949
22616,2350
22617,612
22618,1343
22619,17950
22620,3271
22620,17951
22621,15919
22622,17952
22623,17953
22624,17954
22625,17955
22626,17956
22627,17957
22628,17958
22629,17959
22629,17960
22630,2772
22631,17961
22632,17962
22633,17963
22634,1741
22635,12411
22636,17964
22637,17965
22638,17966
22639,17967
22640,17968
22641,8780
22642,17969
22643,563
22644,16295
22645,4118
22646,17970
22647,12476
22647,12477
22648,17971
