Film_id,Genre_id
2,1
2,2
2,3
3,4
3,5
4,6
4,7
5,8
6,8
6,3
7,1
8,9
10,10
11,4
11,5
11,8
11,11
12,10
12,12
13,1
13,8
14,1
14,3
15,7
16,13
16,3
17,8
18,4
18,7
18,8
18,2
18,14
18,11
19,10
20,8
21,8
22,4
23,5
23,11
24,4
24,8
24,3
25,8
26,8
27,8
28,8
30,4
30,5
30,8
30,11
31,8
31,15
32,4
32,11
33,4
33,5
33,8
34,8
34,3
37,1
38,8
38,11
39,10
39,16
40,1
40,8
40,3
41,8
41,17
41,3
42,1
42,15
42,18
42,11
43,7
43,19
43,2
43,14
44,1
44,5
44,19
44,14
45,8
45,3
46,8
47,8
48,8
49,4
51,5
51,8
51,11
52,1
52,3
53,1
53,8
54,5
54,8
55,8
55,3
56,4
56,11
57,5
57,8
57,11
58,6
58,4
58,7
58,2
58,14
59,15
59,11
60,1
61,1
61,8
61,3
62,5
63,8
65,14
65,11
66,1
66,3
67,19
67,2
68,11
69,1
69,3
70,7
70,8
71,8
71,3
72,8
72,20
73,1
74,8
74,11
75,8
76,8
76,3
77,8
77,11
78,10
79,7
79,19
79,2
80,4
80,7
80,1
80,8
80,20
81,1
81,8
82,1
82,3
83,1
83,8
84,1
84,15
85,6
85,7
85,1
85,19
85,2
86,11
87,4
87,14
88,10
89,4
89,15
89,14
89,11
90,5
90,8
90,11
91,8
92,1
92,17
93,8
93,18
93,11
94,8
95,1
95,3
96,1
96,8
96,2
97,4
97,7
97,2
97,15
97,14
97,11
98,8
98,20
99,8
100,1
101,8
101,3
102,4
102,7
102,2
103,4
103,7
103,8
103,11
103,20
104,1
105,8
105,18
105,11
106,8
106,12
107,8
107,12
107,20
108,1
108,3
109,6
109,7
109,1
109,8
109,19
110,8
111,7
111,1
111,8
111,2
112,4
112,7
112,12
113,1
113,5
114,8
114,18
114,11
115,8
115,18
115,11
116,1
116,3
117,4
117,8
117,14
118,16
118,8
118,3
119,15
119,18
119,11
120,5
120,8
120,11
121,5
121,8
121,2
121,18
122,1
122,8
122,11
123,8
123,2
123,11
124,8
124,20
125,11
126,19
126,6
126,13
127,4
127,7
127,8
127,2
129,8
129,18
129,11
130,4
130,7
130,11
131,4
131,5
131,11
132,1
132,19
132,14
133,4
133,8
133,12
133,3
133,20
133,9
134,4
134,5
134,8
134,11
135,8
136,1
136,8
136,3
137,8
137,18
138,16
138,8
139,4
139,15
139,14
140,8
141,19
142,8
143,1
143,8
144,8
144,18
144,3
144,11
145,1
145,3
146,6
146,7
146,19
147,1
147,8
147,20
148,8
148,12
148,11
149,4
149,1
149,15
149,11
150,1
150,3
150,21
151,4
151,1
151,14
151,9
152,16
152,1
152,8
153,4
153,7
153,14
154,15
154,14
154,11
155,6
155,1
155,19
155,2
155,17
156,4
156,7
156,1
156,18
156,14
157,6
157,4
157,7
157,19
157,14
158,4
158,7
158,2
158,14
159,6
159,7
159,1
159,19
159,2
160,15
161,8
163,5
163,8
163,3
163,21
164,4
164,7
164,2
164,14
165,19
166,1
166,11
167,8
167,11
168,16
168,8
169,1
169,8
169,3
170,1
170,3
172,1
172,4
172,8
173,11
174,1
174,5
175,22
176,1
176,8
177,1
177,19
178,8
178,18
178,3
179,1
179,8
179,3
180,1
181,8
182,8
182,3
182,2
183,1
184,1
184,5
184,8
185,5
185,8
187,1
187,8
187,3
187,14
188,8
188,3
189,3
189,11
190,4
190,5
190,18
190,11
191,8
191,11
193,1
193,5
194,1
194,5
194,3
196,1
196,8
196,3
197,8
197,2
197,12
198,16
198,1
198,8
199,1
199,8
199,3
200,1
200,3
201,6
201,7
201,1
201,19
201,2
202,1
202,8
203,1
203,8
204,1
204,8
205,8
206,1
206,8
207,8
208,1
208,8
208,3
209,5
209,11
210,8
210,3
210,21
211,19
211,1
212,1
212,3
213,8
213,18
213,3
213,11
214,11
215,17
216,7
216,1
216,15
217,8
218,1
220,8
220,11
221,5
221,18
221,11
222,15
223,4
223,5
224,8
225,1
226,16
226,8
226,9
227,8
227,11
228,7
228,8
228,12
228,3
228,20
229,8
229,3
230,4
230,11
231,8
232,6
232,4
232,7
232,1
232,8
232,19
232,14
233,1
234,7
234,1
234,15
235,10
236,8
237,1
237,5
237,3
238,1
238,14
240,16
240,8
240,3
240,20
241,10
242,6
242,7
242,19
242,11
244,8
244,11
245,4
245,8
245,12
246,5
246,8
247,1
248,8
248,11
249,1
249,8
250,1
250,8
250,17
250,3
252,4
252,7
253,5
253,8
253,12
253,11
254,4
254,7
254,14
256,6
256,7
256,1
256,19
256,2
257,1
258,8
258,19
258,21
259,1
259,8
260,1
260,5
260,11
261,4
261,8
261,21
262,4
262,1
262,2
262,14
264,16
264,8
264,19
265,1
265,8
265,3
266,8
266,3
267,7
267,16
267,8
268,11
269,1
269,19
270,8
271,16
271,1
272,4
272,5
272,2
272,18
272,11
273,10
273,16
273,21
274,1
274,11
275,2
276,4
276,14
277,1
278,4
278,7
278,14
278,11
279,6
279,7
279,19
279,14
280,1
280,8
280,3
281,7
281,1
281,19
281,2
282,5
282,8
282,11
283,5
283,8
283,11
284,8
285,4
285,7
285,1
285,5
285,8
286,15
286,18
287,5
287,8
287,11
288,8
288,3
288,20
288,9
289,5
289,8
289,18
289,11
290,1
290,19
290,2
291,1
291,8
291,21
292,1
292,8
292,17
292,3
293,1
293,14
293,13
294,1
295,4
295,15
295,14
296,1
296,19
296,21
297,15
297,14
297,11
298,5
298,18
298,3
298,11
299,11
299,5
299,8
300,11
301,8
301,19
301,9
302,4
302,1
302,5
303,1
303,8
304,11
306,1
307,8
307,3
309,8
310,5
310,8
311,4
311,1
311,8
311,5
312,10
312,21
313,11
313,18
315,1
315,8
315,3
316,5
316,8
316,11
317,5
317,15
318,4
318,5
318,3
318,11
319,8
320,22
321,1
322,1
322,8
322,3
323,1
324,4
324,7
324,8
325,1
326,8
326,14
326,11
327,5
327,8
328,1
328,8
328,3
329,5
329,8
330,5
330,8
330,11
331,1
332,1
332,8
332,3
333,1
334,1
334,2
334,15
334,11
335,5
335,8
335,11
337,8
338,1
338,3
340,1
340,3
341,6
341,7
341,1
342,1
342,5
342,3
343,1
343,5
343,8
343,3
345,8
346,1
348,6
348,7
348,1
348,19
348,13
348,3
349,8
350,8
350,19
351,8
352,8
353,1
353,8
354,1
354,3
355,1
355,8
355,17
355,3
356,8
357,8
358,8
358,11
359,8
360,5
360,8
360,3
360,11
362,4
362,5
362,8
363,1
363,3
365,8
365,3
366,4
366,1
366,8
366,3
367,5
367,11
369,8
370,1
371,1
371,5
372,22
373,1
373,3
374,5
374,8
375,3
377,8
378,5
378,8
378,11
379,4
379,11
380,16
380,1
380,8
380,3
381,1
381,3
382,4
382,20
383,1
383,3
385,4
385,8
386,10
386,17
387,1
387,5
387,8
389,1
389,8
390,1
390,3
390,14
391,7
391,1
391,5
392,4
392,6
394,10
395,4
395,7
395,2
395,14
396,22
397,1
397,8
398,4
398,7
398,14
399,10
400,10
400,17
401,6
401,7
401,19
401,2
401,3
402,8
402,12
402,11
403,4
403,7
403,2
403,11
405,1
405,8
405,17
405,3
406,8
406,2
406,21
407,22
408,4
408,1
409,1
410,15
411,2
412,8
413,8
413,12
413,20
414,8
414,1
414,5
415,8
415,3
415,9
416,4
416,1
417,4
417,8
417,13
417,3
418,4
419,1
420,10
421,8
423,10
424,22
425,5
425,8
425,11
426,8
427,22
428,8
428,3
429,15
430,8
430,11
432,8
433,10
434,10
434,17
435,11
436,8
437,8
438,8
438,19
438,20
439,16
439,5
439,8
439,15
439,11
440,10
440,17
441,1
441,5
442,3
442,1
443,1
443,3
444,1
444,8
444,3
444,21
445,1
446,1
446,8
446,19
447,1
447,8
447,3
448,8
449,1
449,3
449,17
450,4
450,15
450,11
450,18
451,8
451,11
452,8
452,3
453,5
453,8
453,11
454,1
454,14
455,4
455,7
455,1
455,14
455,11
457,8
457,18
457,3
457,11
457,20
458,15
458,11
459,16
459,8
461,1
462,1
463,1
463,19
463,3
463,14
464,16
464,8
464,17
465,8
465,20
468,4
468,8
468,11
468,20
469,1
470,1
470,8
470,3
471,4
471,8
471,21
472,11
473,10
474,16
474,5
474,8
474,11
475,4
475,7
475,5
475,11
476,4
476,7
476,1
476,5
476,11
477,1
478,5
478,11
479,1
479,3
480,1
480,8
481,11
482,1
483,4
483,8
484,5
484,8
484,18
484,11
485,1
486,8
486,18
486,14
486,11
487,1
488,1
490,11
491,1
492,1
492,8
492,3
493,8
493,15
493,11
494,8
494,5
494,18
494,11
495,1
495,8
496,8
497,1
498,1
498,5
499,8
499,3
499,11
500,8
500,18
500,3
500,14
500,11
