Film_id,Genre_id
22379,8
22379,3
22380,1
22381,1
22381,8
22381,14
22382,10
22382,16
22383,16
22383,8
22383,17
22384,8
22384,12
22385,11
22386,5
22386,8
22386,11
22387,4
22387,8
22387,2
22388,8
22389,5
22389,8
22389,18
22389,11
22390,1
22390,8
22390,17
22391,8
22391,3
22392,8
22393,1
22394,10
22395,8
22396,8
22396,2
22397,4
22397,2
22397,11
22398,1
22398,17
22399,5
22399,8
22400,8
22400,2
22401,10
22402,5
22402,8
22402,11
22403,4
22403,1
22403,5
22403,11
22404,1
22405,4
22405,7
22405,8
22405,2
22405,18
22405,14
22407,8
22409,5
22409,8
22410,8
22410,3
22411,8
22412,1
22412,8
22413,15
22414,8
22415,8
22415,15
22417,8
22418,8
22419,5
22419,8
22420,1
22421,4
22421,7
22421,14
22423,8
22423,18
22423,11
22424,4
22424,11
22425,8
22426,8
22426,3
22426,21
22427,1
22427,10
22428,5
22428,8
22429,1
22429,15
22430,10
22430,17
22432,8
22432,3
22433,4
22433,7
22433,8
22434,6
22434,7
22434,1
22434,19
22434,2
22434,3
22435,1
22435,15
22436,10
22437,8
22438,8
22438,3
22438,14
22439,8
22440,8
22440,14
22441,17
22441,14
22442,1
22442,8
22442,3
22443,4
22443,7
22443,14
22443,11
22444,14
22446,4
22446,7
22446,16
22446,8
22446,3
22446,20
22447,1
22448,10
22451,4
22451,7
22452,7
22452,5
22452,8
22452,15
22452,11
22452,20
22453,16
22453,8
22453,17
22454,15
22454,11
22455,1
22455,8
22455,3
22456,10
22457,8
22458,8
22459,5
22459,8
22459,3
22460,8
22460,1
22460,10
22461,4
22461,7
22461,14
22462,5
22462,8
22462,15
22463,4
22463,8
22463,2
22463,15
22463,11
22464,1
22464,2
22464,3
22465,4
22465,7
22465,19
22465,2
22465,14
22466,1
22466,8
22466,3
22467,1
22467,10
22468,15
22469,4
22469,7
22469,19
22469,2
22469,18
22470,5
22470,15
22470,18
22470,11
22471,16
22471,8
22471,12
22471,20
22472,15
22473,7
22473,11
22474,8
22474,20
22475,8
22475,12
22475,20
22476,1
22476,8
22476,3
22476,21
22477,8
22478,8
22479,1
22479,8
22479,2
22479,12
22479,3
22480,1
22480,8
22480,3
22481,4
22481,5
22481,8
22481,9
22482,3
22482,1
22482,8
22483,6
22483,7
22483,1
22483,19
22483,2
22484,8
22485,1
22485,8
22486,8
22487,8
22488,10
22488,21
22489,16
22489,8
22489,17
22490,8
22490,13
22490,3
22491,5
22491,8
22492,8
22492,15
22493,4
22493,1
22493,9
22494,7
22494,19
22494,2
22495,10
22495,8
22496,8
22496,3
22496,11
22497,10
22498,1
22498,8
22499,10
22500,4
22500,5
22500,15
22500,18
22500,11
22501,4
22501,15
22501,11
22502,6
22502,7
22502,1
22502,19
22503,1
22504,1
22504,8
22505,15
22505,14
22505,11
22506,1
22507,15
22508,1
22508,8
22508,13
22508,3
22509,6
22509,7
22509,1
22509,19
22509,14
22510,7
22510,19
22510,2
22510,3
22511,8
22511,2
22511,15
22511,3
22512,6
22512,7
22512,1
22512,8
22512,19
22513,5
22514,1
22515,8
22515,19
22515,2
22516,5
22516,8
22516,11
22517,10
22518,11
22519,4
22519,7
22519,14
22520,16
22520,8
22521,16
22521,5
22521,8
22521,12
22521,11
22522,8
22523,8
22524,1
22524,8
22525,5
22525,8
22525,11
22526,7
22526,19
22527,8
22527,11
22528,8
22529,8
22530,1
22530,8
22530,21
22531,10
22531,21
22532,8
22532,15
22532,13
22532,11
22533,1
22534,8
22535,1
22535,3
22536,7
22536,19
22536,2
22537,5
22537,8
22537,18
22537,11
22538,1
22538,3
22539,1
22539,3
22540,4
22540,16
22540,5
22540,8
22540,11
22541,8
22541,11
22542,4
22542,8
22542,11
22543,4
22543,7
22543,2
22543,15
22543,14
22544,11
22545,8
22545,11
22546,8
22546,3
22547,1
22547,19
22547,2
22548,6
22548,7
22548,1
22548,19
22548,2
22549,4
22549,7
22549,14
22550,1
22551,16
22551,8
22551,12
22551,20
22552,8
22552,18
22552,3
22552,11
22553,3
22554,5
22554,8
22554,18
22555,1
22555,8
22556,8
22557,1
22557,8
22558,8
22558,17
22559,1
22559,8
22559,19
22560,4
22560,16
22560,8
22560,12
22560,20
22561,8
22562,8
22562,21
22563,8
22564,4
22564,7
22564,8
22564,19
