Film_id,Production_id
22379,3087
22380,344
22384,1619
22384,855
22386,1749
22389,2667
22389,294
22389,1403
22391,1841
22391,3088
22397,285
22397,21
22397,137
22399,3089
22402,1188
22403,63
22403,563
22405,317
22414,1922
22420,3090
22424,79
22424,2738
22424,1083
22425,3091
22426,3092
22426,875
22429,3093
22434,3094
22440,3095
22440,3096
22442,768
22442,50
22443,240
22443,1017
22443,1293
22446,3097
22446,3098
22451,146
22452,1907
22452,953
22452,2867
22452,2739
22453,3099
22453,3100
22453,1950
22453,688
22455,63
22455,205
22461,137
22461,28
22463,3101
22463,3102
22465,63
22465,3010
22466,3103
22468,1091
22468,1092
22468,10
22469,309
22469,208
22470,3104
22470,2789
22471,3105
22471,3106
22471,3107
22474,3108
22476,3109
22476,3110
22477,688
22477,3111
22477,3112
22478,3113
22481,2068
22483,53
22488,3114
22489,3115
22489,3116
22492,3117
22492,3118
22494,63
22494,3119
22494,2642
22495,2241
22498,1358
22498,13
22498,3120
22500,2616
22501,285
22501,216
22501,2616
22502,104
22503,1184
22503,280
22503,131
22509,52
22510,2837
22510,1669
22510,758
22510,2122
22511,277
22511,111
22512,52
22512,1855
22514,3121
22515,3010
22515,2597
22516,582
22516,3122
22516,3099
22517,3123
22519,3124
22519,3125
22519,3126
22520,240
22521,71
22521,488
22521,303
22524,3127
22524,3038
22524,535
22524,3128
22524,3129
22525,3130
22530,3035
22530,1599
22530,390
22531,3131
22531,3132
22532,235
22532,1696
22535,83
22535,2929
22535,531
22535,159
22536,3010
22537,13
22537,1358
22540,2038
22540,3133
22540,3134
22540,3135
22540,3136
22540,244
22540,708
22540,3137
22540,3138
22540,1493
22540,240
22540,246
22540,3139
22540,2753
22541,3140
22542,10
22543,71
22543,216
22546,3141
22547,1624
22547,71
22547,205
22548,104
22549,1364
22551,1082
22551,617
22553,3142
22559,63
22559,415
22560,2216
22562,339
22563,639
22563,1545
22564,345
22566,3143
22566,1931
22567,3144
22567,3145
22569,3146
22574,104
22574,567
22574,2783
22575,3127
22578,1108
22580,3147
22580,2808
22580,101
22581,303
22581,3148
22581,142
22582,3149
22584,3150
22586,1184
22587,3151
22588,3152
22590,124
22591,3153
22592,1311
22592,877
22592,672
22593,3154
22593,3155
22595,3156
22596,2877
22598,303
22598,1274
22601,205
22601,483
22602,282
22602,3157
22602,1749
22603,3158
22605,617
22605,71
22605,1293
22606,1970
22607,2616
22607,2924
22607,285
22610,3159
22610,1269
22610,1410
22610,2382
22610,2105
22614,10
22616,3160
22618,63
22620,233
22620,798
22620,309
22620,2965
22621,205
22621,1
22622,3161
22622,3162
22623,2971
22626,3163
22627,347
22627,3164
22627,3165
22629,3166
22629,3167
22629,3168
22630,3169
22631,1478
22631,3170
22631,71
22633,442
22634,276
22634,585
22634,122
22634,120
22635,3171
22635,3172
22635,2838
22635,3173
22640,1630
22640,3174
22642,3175
22643,1311
22643,2841
22643,605
22644,3176
22645,3177
22649,3178
22650,3179
22656,240
22656,449
22656,244
22656,3180
22656,1334
22656,2753
22656,1335
22656,1293
22656,3181
22657,2025
22657,2867
22657,2739
22659,3182
22659,3183
22659,3184
22661,1368
22661,773
22661,3185
22665,3186
22668,124
22668,71
22669,3187
22669,3188
22671,2640
22672,3189
22673,3190
22676,638
22677,3191
22678,3192
22678,3193
22680,3194
22681,2667
22683,3195
22683,2590
22683,866
22683,582
22683,309
22685,110
22686,3196
22687,325
22687,309
22687,3129
22687,2856
22687,3197
22688,3198
22688,79
22689,309
22689,339
22689,28
22690,3199
22691,1412
22691,1318
22692,3200
22692,1596
22692,240
22692,363
22692,3201
22692,3202
22692,448
22692,51
22692,3203
22692,1221
22692,272
22692,2139
22694,1311
22695,3204
22695,104
22696,3205
22696,1910
22696,3206
22696,3207
22696,1749
22697,2744
22698,3208
22698,2041
22700,339
22700,3209
22707,677
22707,3210
22707,262
22710,63
22714,3211
22717,2991
22721,3212
22721,3213
22721,3214
22721,3215
22721,2303
22721,3216
22727,2675
22727,3217
22727,2739
22729,3218
22729,639
22729,2691
22733,3219
22733,3220
22733,3221
22735,581
22735,52
22738,2924
22744,2781
22744,2968
22745,3222
22745,3223
22745,3224
22745,2068
22746,28
22747,10
22747,2783
22749,3225
22752,145
22752,3226
22760,1922
22762,3227
22763,1358
22763,2989
22763,3228
22764,120
22764,3229
22765,3230
22766,2068
22770,3231
22771,3232
22771,3173
22772,3233
22772,276
22773,617
22773,786
22773,71
22776,3234
22778,3235
22778,2591
22778,309
22778,2667
22786,3236
22786,3237
22788,3107
22789,3238
22794,3067
22794,3239
22794,3240
22795,3241
22795,71
22795,1359
22796,2667
22797,1950
22797,489
22797,688
22798,753
22799,1542
22801,263
22801,2741
22803,3242
22806,482
22808,3243
22809,3244
22812,3010
22812,2924
22813,1311
22815,3245
22818,832
22825,2468
22831,3246
22833,3247
22835,382
22836,3248
22839,3249
22841,3250
22841,1732
22844,52
22844,2212
22845,1007
22848,3251
22850,3252
22851,3253
22851,3254
22851,1273
22852,2744
22852,159
22854,2891
22855,3255
22857,1931
22858,2739
22858,2867
22858,2025
22858,1907
22863,2667
22863,3256
22863,3257
22863,3258
22865,3259
22866,2068
22868,716
22869,158
22870,110
22873,3260
22877,482
22877,2675
22877,3261
22877,397
22877,3262
22880,3263
22880,3264
22880,435
22880,3265
22885,190
22885,161
22885,2589
22885,188
22887,2996
22887,1931
22887,3164
22889,3266
22889,3267
22891,3107
22891,3268
22893,52
22893,581
22893,605
22893,3269
22894,793
22894,2837
22895,887
22897,3270
22897,3271
22898,2578
22899,1787
22899,193
22900,63
22901,3272
22906,442
22910,3273
22910,1317
22911,2739
22911,433
22911,2300
22911,3274
22912,2072
22912,385
22914,3275
22914,3276
22914,3277
22917,205
22918,3278
22919,3279
22919,3280
22920,285
22921,131
22921,1724
22921,2924
22927,3281
22928,2773
22930,3282
22930,3283
22930,3284
22933,3285
22934,3286
22937,3287
22939,3288
22940,3289
22940,3290
22941,385
22941,1548
22941,1
22941,2951
22942,1771
22942,3291
22942,3148
22943,3292
22944,3293
22947,159
22948,3294
22950,3295
22951,1576
22951,3296
22955,3297
22955,3298
22957,344
22958,3299
22960,489
22970,2879
22971,382
22972,887
22972,2144
22972,1841
22977,851
22983,13
22987,3300
22989,2072
22989,3301
22990,3302
22993,3303
22997,3304
22997,3305
23000,3306
23004,3307
23011,3006
23011,3308
23015,2068
23015,3309
23021,489
23024,2126
23025,110
23028,1444
23030,3310
23039,3311
23041,233
23041,309
23041,798
23044,280
23045,3312
23045,3313
23047,1033
23048,3314
23048,111
23048,376
23048,105
23049,3315
23052,1689
23054,2951
23054,140
23054,385
23059,74
23059,3316
23059,3317
23059,3318
23065,3319
23065,3320
23067,3321
23069,442
23070,1444
23071,1800
23071,247
23072,3322
23072,3323
23074,3324
23074,3325
23077,3326
23078,225
