Film_id,Writer_id
22379,16035
22379,23184
22380,23185
22381,23186
22381,23187
22381,23188
22383,23189
22383,20108
22383,23190
22384,23191
22384,14725
22384,23192
22384,6746
22384,1779
22384,23193
22384,23194
22385,23195
22385,23196
22385,23197
22385,23198
22386,1565
22386,1566
22387,23199
22387,23200
22387,23201
22388,2905
22388,5476
22388,2907
22389,23202
22390,8129
22391,23203
22391,23204
22392,23205
22393,23206
22393,23207
22393,23208
22394,23209
22395,23210
22395,23211
22396,23212
22397,23213
22398,23214
22399,21875
22400,23215
22402,23216
22403,6615
22403,6926
22404,23217
22404,23218
22405,23219
22405,23220
22405,722
22406,23221
22407,23222
22407,23223
22408,23224
22409,23225
22409,23226
22409,23227
22410,23228
22411,23229
22411,23230
22411,23231
22412,23232
22412,23233
22413,7986
22414,23234
22414,23235
22415,23236
22416,23237
22417,23238
22418,7942
22419,23239
22420,23240
22421,1142
22422,23241
22422,23242
22423,23243
22423,23244
22423,23245
22423,23246
22423,23247
22423,23248
22424,20880
22424,23249
22424,23250
22424,23251
22425,3336
22426,5080
22426,23252
22428,23253
22429,6285
22429,6287
22431,23254
22432,23255
22433,2608
22433,23256
22433,23257
22433,3950
22434,23258
22434,23259
22434,23260
22434,23261
22434,23262
22434,23263
22435,1993
22436,23264
22437,4991
22437,4992
22438,5225
22439,23265
22439,23266
22440,20620
22440,23267
22441,23268
22442,23269
22442,23270
22443,5666
22443,3375
22443,23271
22443,23272
22444,23273
22444,20777
22444,23274
22444,23275
22446,7698
22447,23276
22447,23277
22449,23278
22449,23279
22451,730
22451,341
22451,6615
22451,23280
22452,2482
22453,10782
22453,21109
22454,21658
22454,23281
22454,23282
22454,23283
22454,23284
22454,23285
22454,23286
22454,23287
22454,23288
22455,23289
22455,23290
22455,2496
22455,21242
22457,23291
22457,23292
22458,23293
22459,23294
22459,23295
22460,23296
22461,20646
22461,20647
22461,23297
22461,23298
22461,728
22461,23299
22461,20892
22461,20800
22462,23300
22463,23301
22464,23302
22465,23303
22465,23304
22465,9393
22465,9058
22466,23305
22468,23306
22468,3015
22468,3014
22469,23307
22469,4279
22470,1349
22470,23308
22471,959
22471,23309
22471,23310
22472,23311
22473,23312
22473,23313
22474,23314
22474,23315
22475,23316
22475,23317
22476,23318
22476,23319
22477,866
22477,23320
22477,23321
22478,5634
22478,23322
22478,23323
22479,23324
22479,23325
22480,23326
22480,23327
22480,23328
22480,23329
22480,23330
22481,23331
22481,2674
22481,2675
22481,21652
22482,23332
22483,468
22483,23333
22483,23334
22483,20606
22484,164
22485,23335
22485,23336
22486,23337
22486,12039
22486,23338
22489,23339
22489,23340
22490,5535
22490,12609
22491,23341
22491,2509
22492,15214
22492,23342
22493,12551
22494,717
22494,23343
22495,12132
22496,1446
22496,23344
22496,23345
22496,1011
22498,23346
22500,7867
22501,23347
22501,648
22501,23348
22501,23349
22502,23350
22502,23351
22502,23352
22502,23353
22502,23354
22502,23355
22503,23356
22503,23357
22504,2839
22504,2840
22505,5328
22505,556
22507,4445
22507,23358
22507,23359
22507,6873
22507,23360
22508,23361
22509,2305
22509,23362
22509,288
22509,23363
22509,23364
22509,23365
22509,280
22509,21366
22509,23366
22510,20660
22510,23367
22510,23368
22511,571
22511,6700
22511,23369
22512,23370
22512,342
22513,7286
22513,23371
22514,23372
22515,4010
22515,23373
22515,13456
22516,13500
22516,23374
22519,23375
22519,23376
22519,23377
22520,5545
22520,23378
22521,23379
22521,23380
22521,5359
22522,23381
22522,23382
22523,23383
22523,15953
22524,7906
22525,23384
22525,23385
22525,23386
22525,23387
22525,23388
22526,4294
22526,6516
22526,23389
22527,23390
22528,14427
22528,23391
22529,23392
22530,4717
22531,23393
22531,23394
22532,261
22532,11117
22532,23395
22533,23396
22533,23397
