id,fullName
1,Miramax Films
2,Konrad Pictures
3,Crime and Punishment Productions Limited
4,Fried Films
5,Trimark Pictures
6,Savoy Pictures
7,Michael Ritchie Productions
8,Sullivan Street Productions
9,Radmin Company
10,Dimension Films
11,Nu Image
12,Channel 4
13,Millennium Films
14,Glitter Productions
15,Laurence Mark Productions
16,Columbia Pictures Film Production Asia
17,Twentieth Century Fox
18,Maroon Entertainment
19,Tse Tse Fly Productions
20,Triumph Films
21,Crystal Sky
22,Paradis Film
23,Jet Tone Productions
24,Block 2 Pictures
25,The Shooting Gallery
26,Chal Productions
27,Bavaria Film
28,Paramount
29,Canwest
30,Rysher Entertainment
31,Baby Productions
32,7 Arts International
33,Starz!
34,Das Werk
35,Helkon Media AG
36,CineGroupe
37,Millman Productions
38,Madragoa Filmes
39,Gémini Films
40,Instituto do Cinema
41,Audiovis
42,Radiotelevisão Portuguesa
43,Poya Pictures
44,Allott Productions
45,Peakviewing Productions
46,Warner Brothers
47,Atlas Entertainment
48,Green/Renzi
49,Filmtown Entertainment [us]
50,El Dorado Pictures
51,Nordisk Film &amp; TV-Fond
52,Walt Disney Pictures
53,Pixar Animation Studios
54,MRG Entertainment
55,UFO Films
56,Mutual Film Company
57,View Askew Productions
58,Shongo Filmworks Ltd
59,Chango Productions
60,Moonstone Entertainment
61,Shostak/Rossner Production
62,Film Cellar
63,New Line Cinema
64,The Lloyd Segan Company
65,George Street Pictures
66,Gramercy Pictures
67,Single Cell Pictures
68,Propaganda Films
69,American Internat&#39;l Pics
70,Punch Productions
71,Universal Pictures
72,Alphaville Films
73,Rational Packaging Company
74,Summit Entertainment
75,Rain City
76,Flying Heart Films
77,Sugar Creek Productions
78,Fox 2000 Pictures
79,20th Century Fox
80,Adam Fields Productions
81,Bigel/Mailer Films
82,Allied Filmmakers
83,DreamWorks Pictures
84,Aardman Animations
85,Pathé Pictures
86,Columbia Pictures Corporation
87,STK Productions
88,Touchstone Pictures
89,Phaedra Cinema
90,Hit &amp; Run Productions
91,Eye of the Beholder Ltd.
92,Village Roadshow Prod.
93,Behaviour Worldwide
94,Ambridge Film Partnership
95,Filmline International
96,Hobby Films
97,Pole Star
98,Ventanarosa Productions
99,Handprint Entertainment
100,Underworld Entertainment
101,Castle Rock Entertainment
102,Darkwoods Productions
103,Amblin Entertainment
104,DreamWorks SKG
105,TriStar Pictures
106,Saul Zaentz Company
107,WingNut Films
108,Icon Entertainment International
109,Kintop Pictures
110,Vanguard
111,Metro Goldwyn Mayer
112,Televisa S.A. de C.V.
113,Hool/Macdonald Productions
114,Arco Films
115,Fílmax
116,Silver Lion Films
117,Producciones San Patricia
118,Regency Enterprises
119,New Legacy
120,Impact Pictures
121,Metropolitan
122,Davis Films
123,Dee Gee Entertainment
124,Kennedy/Marshall
125,Alcon Entertainment
126,Buena Vista Pictures
127,Medusa Film
128,Cattleya
129,Film &amp; General Productions Ltd. [gb]
130,Cineritmo
131,Fox Searchlight
132,Peters Entertainment
133,Sonnenfeld Josephson Worldwide Ent.
134,Genetics Productions
135,Bad Hat Harry
136,Springwood Productions
137,Marvel Enterprises
138,Marvel Films
139,Donner/Schuler-Donner
140,Miramax
141,Walt Disney Productions
142,MacDonald-Parkes
143,Fox Animation Studios
144,David Kirschner Productions
145,Blue Sky Studios
146,Lucasfilm Ltd.
147,Buena Vista
148,JLT Productions
149,Spring Creek Productions
150,Baltimore Pictures
151,Tribeca Productions
152,NPV Entertainment
153,Face Productions
154,J&amp;M Entertainment
155,Imagine Entertainment
156,FilmWave
157,Film Colony
158,MTI Home Video
159,Davis Entertainment
160,PolyGram Filmed Entertainment
161,Jersey Films
162,Cinehaus
163,Pacific Data Images
164,Tribeca Film Center
165,First Look Pictures Releasing
166,Seneca Falls
167,Mata Productions
168,Inc.
169,Sandcastle 5 Productions
170,María Teresa Argüelles
171,Daniel Andreu-Von Euw
172,Instituto Nacional de Cinema
173,Springall Pictures
174,C.O.R.E. Digital Pictures
175,Dr. José Pinto Mazal
176,Sogepaq
177,Guillermo Springall
178,Goldheart Pictures
179,Tenoch Ochoa Fernández
180,John Sayles
181,Latin Universe II
182,Llc
183,Fonds Sud
184,Cinematografica Tabasco S.A
185,MACT Productions
186,Kingdom Come Pictures
187,Red Mullet Productions
188,Paramount Pictures
189,Bona Fide Productions
190,MTV Films
191,Beacon Communications
192,Tig Productions
193,Mirage Enterprises
194,Dragon Pictures
195,Egg Pictures
196,Phoenician Films
197,Ground Zero
198,Time Warner Cable
199,Film Society of Lincoln Center
200,Sundance Channel
201,Independent Feature Project
202,Transparent Films
203,Beaver Productions
204,Ajawaan Productions
205,Spyglass Entertainment
206,Storm Entertainment
207,ETIC Films
208,Heyday Films
209,A-Pix Entertainment
210,Spartan Home Entertainment
211,Capella International
212,KC Medien AG
213,SHO Entertainment
214,Franchise Pictures
215,Lawrence Gordon Productions
216,Dark Horse Entertainment
217,Studio Eight
218,Kingsborough Greenlight Pictures
219,Circle Films
220,Televisión Española
221,Gardenia Producciones
222,Amaranta Films
223,Le Studio Canal +
224,Producciones Amaranta
225,Tornasol Films S.A.
226,Tabasco Films
227,DMVB Films
228,Jeff Most Productions
229,Pacifica Film Distribution
230,Fallen Bird Productions
231,Edward R. Pressman Film Corp.
232,IMF
233,Silver Pictures
234,Avalanche Entertainment
235,Zanuck Company
236,Odeon Films
237,Films 7
238,Président Films
239,Cecchi Gori Group Tiger Cinema
240,Canal+
241,Bavaria Entertainment
242,Renn Productions
243,Filmförderungsanstalt
244,Centre National de la Cinematographie
245,Melampo Cinematografica
246,Pathé
247,TF1 Films Production
248,AMLF
249,Katharina
250,Eurimages
251,Neue Constantin Film
252,FilmFernsehFonds Bayern
253,Dogstar Films
254,Craven-Maddalena Films
255,Timnick Films
256,Good Machine
257,Hofflund/Polone
258,Columbia
259,Hollywood Pictures
260,Rocking Chair Productions
261,Baldwin/Cohen Productions
262,Seven Arts Pictures
263,Intrepid Pictures
264,Interscope Communications
265,Hammerhead Productions
266,United Artists
267,Screenland Pictures
268,Belateche/Pike Productions
269,Westdeutscher Rundfunk
270,Boje Buck Produktion GmbH [de]
271,Zero Film GmbH
272,Svenska Filminstitutet
273,Film i Väst
274,Omega Film
275,Nordisk Film
276,Screen Gems
277,Lakeshore Entertainment
278,Art Linson Productions
279,Taurus Film
280,New Regency Pictures
281,Redeemable Features
282,Mad Chance
283,Warner Brothers/Seven Arts
284,Mirador Films
285,Columbia Pictures
286,Team Todd
287,Blackwood Films
288,Prosperity
289,Clinica Estetico
290,Kalkaska
291,Eureka Pictures
292,Flashpoint
293,Stardust Pictures
294,Open City Films
295,October Films
296,Industry Entertainment
297,Columbia TriStar Television
298,Newmarket Capital Group
299,Norann Entertainment
300,Joyriders Productions LLC
301,Instituto Português da Arte Cinematográfica e Audiovisual
302,Lobell/Bergman Productions
303,Sidney Kimmel Entertainment
304,Longfellow Pictures
305,Simon Fields Productions
306,FR Production
307,Canal Plus Image International
308,Mas Macho Inc.
309,Warner Bros.
310,RKO Radio Pictures Inc.
311,P.P.S. Films
312,Lions Gate Entertainment
313,Muse Productions
314,Quadra Entertainment
315,Improvision Corporation
316,Mandalay Pictures
317,Davis-Panzer Productions
318,Laura Ziskin Productions
319,Qatsi Productions
320,New Crime Productions
321,Wildwood Enterprises
322,Steve Tisch Company
323,Echo Productions
324,Monarch Home Video
325,Scott Free Productions
326,Intermedia Films
327,United Seven Creations
328,Venus
329,Sandrews
330,SVT Drama
331,Svensk Filmindustri
332,Beluga Film
333,The Image Organization
334,USA Films
335,Robert Simonds Productions
336,Six Feet Under Films
337,Plurabelle Films
338,First City Features Ltd
339,Phoenix Pictures
340,Goldwyn Films
341,Serious Productions
342,Serious Entertainment
343,MDS Productions LLC
344,American World Pictures
345,Nickelodeon Movies
346,Broadway Pictures
347,Jagged Films
348,Natural Nylon Entertainment
349,Hanna-Barbera Productions
350,First Look Pictures
351,Morgan Creek Productions
352,Quebec Film and Television Tax Credit
353,Imperial Entertainment
354,Amen Ra Films
355,Flower Films
356,Tall Trees Productions
357,Soul Simple Productions
358,Mojo Films
359,P.K. Pictures
360,United Lotus Group
361,Prufrock Pictures
362,Avery Pix
363,Filmstiftung Nordrhein-Westfalen
364,Trigger Street Productions
365,Tatfilm
366,Little Bird
367,The Greenlight Fund
368,Bord Scannan Na hEireann
369,Ron Bass Productions
370,Tall Skinny Black Boy Productions
371,e2 Filmworks
372,Roe Productions KG
373,Midnight Man II
374,ImageMovers
375,Turman-Morrissey Company
376,Hyde Park Entertainment
377,Robert Greenwald Productions
378,Ardent Films
379,Lakeshore International
380,Greenlight Productions
381,Telecom Entertainment Inc.
382,Playtone Productions
383,Shaft Productions Ltd.
384,New Deal Productions
385,Scott Rudin Productions
386,Pandora Cinema
387,Sony Pictures Classics
388,Maximone Pictures
389,Nora Ephron Productions
390,Universal International Pictures
391,GMA Network Films
392,Via Digital
393,Celestial Pictures
394,5 Card Productions
395,Visual Communications
396,Net Worth Productions
397,Figment Films
398,BTC Productions KG
399,Living Films
400,Banyan Tree
401,Sud-Est Productions
402,Mainline Pictures Inc.
403,Eternity Pictures
404,Global Entertainment Productions
405,Mace Neufeld Productions
406,Revelations Entertainment
407,TF1 International
408,High Water Films
409,Phase 1 Productions
410,David Brown Productions
411,Curb Entertainment
412,Turner Network Television
413,Alex Entertainment Inc.
414,Fireworks Entertainment
415,Hannah Rachel Productions Services Ltd.
416,WMG Film
417,Free Hazel Films
418,1492 Pictures
419,Twitching Image Studio
420,Infliction Films
421,Les Films Alain Sarde
422,Oil &amp; Water Productions
423,Jaffilms
424,Brookwell McNamara
425,Telepool
426,Filmfabriken Baltic Sea AB
427,Freeway Films
428,Stranger Than Fiction
429,Aviva Entertainment
430,Little Villa Features
431,Bittersweet Films
432,Icelandic Film Corporation
433,FilmFour
434,Trust Film
435,Constantin Film Produktion
436,Blind Spot Pictures Oy
437,Cinematograph A/S
438,What Else? B.V.
439,Yleisradio
440,Danmarks Radio
441,Arte
442,Zentropa Entertainments
443,TV 1000
444,Liberator Productions
445,Lantia Cinema
446,Angel Films A/S
447,VPRO Television
448,Arte France Cinema
449,France 3 Cinéma
450,Mundy Lane Entertainment
451,MDP Worldwide
452,Antwone Fisher Productions [us]
453,Universal/Universal Int
454,Fresh Produce Films
455,Seven Summits Pictures &amp; Management
456,Seagal/Nasso Productions
457,Regency Entertainment
458,KirchMedia
459,Haft Entertainment
460,Fortis Films
461,Double A Films
462,Triple Threat
463,Abstrakt Film
464,ab&#39;-strakt pictures
465,Pacifica Film
466,Fandango
467,Bohemian Productions
468,Weinstock Productions
469,First Cold Press Productions
470,Arama Entertainment
471,Boudicca Films Ltd.
472,Artic Productions LLC
473,Polar Entertainment Corporation
474,Ice Cap Production
475,Chris Lee Productions
476,Square Company
477,Hi-Rez Films
478,St. Anthony Films
479,Wayan Bros. Entertainment
480,Gold/Miller Productions
481,Brillstein-Grey Entertainment
482,Sogecine
483,Rogue Pictures
484,Fresh Produce Company
485,Gilmartin Film
486,Scanbox Entertainment
487,MainPix
488,Outlaw Productions
489,Blue Rider Pictures
490,Daybreak Point Entertainment
491,Shooting Gallery
492,Cinema Gypsy Productions
493,Living Motion Pictures
494,Film Foundry Partners
495,GreeneStreet/SKE Films
496,Wüste Filmproduktion [de]
497,Argos Filmcilik Turizm
498,Quality Pictures
499,Linson Films
500,Fine Line Features
501,Nicolas Entertainment
502,MVD Visual
503,Red Violet Productions
504,Movie Mongrel
505,Goldmount Pictures
506,Delta Deuce Films
507,Katira Productions GmbH &amp; Co. KG
508,New Redemption
509,Marevan Pictures
510,Hollywood Partners
511,Walrus &amp; Associates
512,Thousand Words
513,Truth and Soul Pictures
514,Bandeira Entertainment
515,Requiem for a Dream LLC
516,Artisan Entertainment
517,Protozoa Pictures
518,Sibling Productions
519,Cinerenta Medienbeteiligungs KG
520,Two Sticks Productions
521,Purple Rose Productions
522,Fireworks Pictures
523,Globo Filmes
524,LC Barreto
525,Filmes do Equador
526,What Planet Are You From? Productions
527,Hallmark Entertainment
528,Fountainbridge Films
529,Cruise-Wagner Productions
530,Blue Tulip
531,Conundrum Entertainment
532,Mindfire Entertainment
533,Compulsion Inc.
534,Bedford Falls Productions
535,Initial Entertainment Group
536,Vinyl Films
537,FilmAcres
538,Homeless Film Productions
539,Jersey Shore
540,Arroyo Pictures
541,Shakespeare Film Company
542,Arts Council of England
543,Commotion Pictures
544,Daly-Harris Productions
545,Pathfinder Pictures
546,DEJ Productions
547,Phoenician Entertainment
548,Zucker Brothers Productions
549,Pollock Films
550,Brant-Allen
551,Zeke Productions
552,Fred Berner Films
553,Finestkind
554,Black and Blu Entertainment
555,TF1 Films Productions
556,Leeloo Productions
557,Arco Embassy
558,Centre Street Productions
559,Streetlight Films
560,Chickie the Cop
561,Rhulen Entertainment
562,Daniel Fried Entertainment
563,Roger Birnbaum Productions
564,Jackie Chan Films
565,Snow Day Productions
566,New Faction Pictures
567,Paramount Pictures International
568,BBC
569,MFF
570,Curtis Hanson Productions
571,Marubeni Corporation
572,Battlefield Productions LLC
573,JTP Films
574,RSC Media
575,Happy Madison Productions
576,Neverland Films
577,Malpaso Company
578,Clipsal Films
579,Wendy Finerman Productions
580,Indican Pictures
581,Jerry Bruckheimer Films
582,Centropolis Entertainment
583,SofyGram
584,France 2 Cinema
585,Constantin Film
586,Key Entertainment
587,The Bubble Factory
588,Claussen &amp; Wöbke Film Production
589,Deutsche Columbia Pictures Film Prod.
590,Imaginary Forces
591,HBO Films
592,Jazz Pictures
593,Esparza/Katz Productions
594,Arthur E. Friedman Productions
595,HAL Films
596,Lion&#39;s Share Pictures
597,Carlton Films
598,Talisman Films
599,Inferno Film Productions
600,Gaumont
601,MBP &amp; Co. KG
602,Mushroom Pictures
603,Beyond Films
604,Grindstone Pictures
605,Saturn Films
