id,fullName
1,Steven Rogers
2,James Mangold
3,Kinji Fukasaku
4,Fumio Kônami
5,Norio Osada
6,Charles Dickens
7,Fernando Ruiz
8,Fyodor Dostoevsky
9,Menahem Golan
10,Mikhail Shelekhov
11,Jack Rosenthal
12,John Wilder
13,Johannes Holzhausen
14,Mahesh Bhatt
15,Girish Dhamija
16,Iztule Ismaganbetova
17,Satybaldy Narymbetov
18,Seth Greenland
19,Tom Jones
20,Harvey Schmidt
21,David Douglas
22,Christopher Salazar
23,Belle Avery
24,David H. May
25,James Allen Bradley
26,Scott E. Chester
27,Karin Brandauer
28,Heide Kouba
29,Orson Welles
30,Oja Kodar
31,F.X. Feeney
32,George Hickenlooper
33,Aleksandr Adabashyan
34,Sebastián Alarcón
35,Tatyana Yakovleva
36,Donald G. Jackson
37,Scott Shaw
38,Kenneth Guertin
39,James Bonner
40,Robert McGinley
41,Sachin Bhowmick
42,Ravi Kapoor
43,Sagar Sarhadi
44,Spede Pasanen
45,Elise D'Haene
46,Honey Irani
47,Javed Siddiqui
48,Cheryl L. West
49,Kate Lanier
50,Rogan Russell Marshall
51,Vincent Lambert
52,Gérard Pullicino
53,Serge Richez
54,Steven Paul
55,Francisca Matos
56,Robert Grasmere
57,Bob Clark
58,Greg Michael
59,Kar-Wai Wong
60,George Bazala
61,Patrick Clarke
62,Manuela Viegas
63,Joaquim Sapinho
64,Ira Lewis
65,Jens Bielefeldt von Kunowski
66,Matthias Glasner
67,Nicholas Shakespeare
68,Robert Krantz
69,Bethany Ashton Wolf
70,Tawd Beckman
71,R.D. Robb
72,David Stutman
73,Dale Wheatley
74,John Cenatiempo
75,Michael Hogan
76,Peter Ettedgui
77,Alexander Pushkin
78,Michael Ignatieff
79,Eric Mintz
80,Sean Atkins
81,Darren Doane
82,Sean Christopher Nelson
83,Simon Bisley
84,R. Payne Cabeen
85,Kevin Eastman
86,Robert Geoffrion
87,Carl Macek
88,John Minnis
89,Lorenzo Orzari
90,Eric Talbot
91,George Ungar
92,Jeff Miller
93,Michael R. Smith
94,Paul Talbot
95,João César Monteiro
96,Adrian Fulle
97,David J. Miller
98,Daniel Bingley
99,Jeff Santo
100,Alberto Seixas Santos
101,Richard Brunton
102,Ana Clavell
103,Edgar Allan Poe
104,Kenneth Schapiro
105,Herman van Veen
106,Ivan Entel
107,Joy Stout
108,David Elliot
109,Mark Huppin
110,Jan Peter
111,Yury Winterberg
112,Bruno Nuytten
113,Tatiana Vialle
114,Leigh Jackson
115,Tony Ferriter
116,Scott Mabbutt
117,Aaron McNally
118,Dorian Ramírez
119,Jeffrey Delman
120,D.H. Morgan
121,Cynthia Cohen
122,Jon Bastian
123,Cathryn de Prume
124,Sam Ingraffia
125,Barbara Lindsay
126,Matt Keener
127,Edith Wharton
128,William Hanley
129,N. Chandra
130,Rajeev Kaul
131,Praful Parekh
132,Kirsi Nevanti
133,Brett Morris
134,John Ridley
135,David O. Russell
136,David Mamet
137,Brad Kane
138,Roy Andersson
139,Wayne Alan Harold
140,John Lasseter
141,Pete Docter
142,Ash Brannon
143,Andrew Stanton
144,Rita Hsiao
145,Doug Chamberlin
146,Chris Webb
147,Rick Fry
148,Woody Keith
149,Patrick Phillips
150,Phillip J. Roth
151,Chuck Pfarrer
152,Dennis Feldman
153,Bryan Johnson
154,Yule Caise
155,Jess Mowry
156,Martin Guigui
157,Tony Kayden
158,Davidlee Willson
159,Roi Cooper Megrue
160,Jean C. Havez
161,Clyde Bruckman
162,Joseph A. Mitchell
163,Steve Cohen
164,Charlie Kaufman
165,Anonymous
166,Mark Leahy
167,David Chappe
168,Marie Vassiltchikov
169,Osha Gray Davidson
170,J. Marina Muhlfriedel
